dataset,modif,modif_val,L3_val,cross_entropy
cz,default,0.0,0.06139253636415671,10.393615963918426
cz,inc,0.1,0.15525328272774103,10.405187795979911
cz,inc,0.2,0.24911402909132535,10.473257925030266
cz,inc,0.3,0.3429747754549097,10.578087549926003
cz,inc,0.4,0.436835521818494,10.717918803432052
cz,inc,0.5,0.5306962681820784,10.898211962616204
cz,inc,0.6,0.6245570145456627,11.132054803268492
cz,inc,0.7,0.718417760909247,11.446445983769706
cz,inc,0.8,0.8122785072728314,11.903918332116051
cz,inc,0.9,0.9061392536364157,12.706017337280574
cz,inc,0.95,0.9530696268182078,13.520106934848378
cz,inc,0.99,0.9906139253636416,15.4265612836073
cz,dec,0.9,0.05525328272774104,10.396568451182345
cz,dec,0.8,0.04911402909132537,10.40033437947286
cz,dec,0.7,0.04297477545490969,10.40506328656447
cz,dec,0.6,0.036835521818494026,10.410960805621878
cz,dec,0.5,0.030696268182078355,10.418323283127519
cz,dec,0.4,0.024557014545662684,10.427606013269202
cz,dec,0.3,0.018417760909247013,10.439576533486154
cz,dec,0.2,0.012278507272831342,10.455735734178742
cz,dec,0.1,0.006139253636415671,10.479987281574877
cz,dec,0.0,0.0,10.550075925370995
en,default,0.0,0.1296394038678045,7.56015959632839
en,inc,0.1,0.21667546348102407,7.5709191771373066
en,inc,0.2,0.30371152309424365,7.61360714279316
en,inc,0.3,0.3907475827074631,7.683232425880732
en,inc,0.4,0.4777836423206827,7.780609080080374
en,inc,0.5,0.5648197019339023,7.910769296699441
en,inc,0.6,0.6518557615471218,8.084400828494376
en,inc,0.7,0.7388918211603414,8.323164807424218
en,inc,0.8,0.8259278807735609,8.677092553707663
en,inc,0.9,0.9129639403867804,9.307410545102798
en,inc,0.95,0.9564819701933902,9.953265709787368
en,inc,0.99,0.9912963940386781,11.474278190591226
en,dec,0.9,0.11667546348102406,7.562184886876597
en,dec,0.8,0.10371152309424361,7.565451353011231
en,dec,0.7,0.09074758270746315,7.570142581032876
en,dec,0.6,0.0777836423206827,7.576509409423514
en,dec,0.5,0.06481970193390225,7.584909394365449
en,dec,0.4,0.051855761547121806,7.595882911338356
en,dec,0.3,0.03889182116034135,7.610319241354318
en,dec,0.2,0.025927880773560903,7.629894185319261
en,dec,0.1,0.012963940386780452,7.658685177709232
en,dec,0.0,0.0,7.7230137745969785
